#{"t_start": 1768084635.449265, "env_id": "LunarLander-v3"}
r,l,t
239.953101,322,239.421869
216.679877,282,239.60152
236.122658,307,240.784038
2.883045,237,240.931459
214.781813,525,241.270513
-27.086574,178,241.374995
221.298782,708,241.82024
277.681449,314,243.091809
245.755613,223,243.227491
164.650732,447,243.504856
21.195689,1000,244.123257
217.98775,299,244.29851
237.759765,301,245.541556
268.184815,230,245.675292
276.189423,276,245.847132
183.138232,256,246.014709
265.931022,292,246.193583
236.427619,265,246.355737
4.90043,173,246.461047
233.354812,237,246.602565
256.755209,242,247.738186
141.948264,1000,248.370195
283.113106,391,248.607456
-8.451553,155,248.698687
20.524808,230,248.835541
260.90608,261,250.035879
-45.022215,153,250.126594
-28.891363,169,250.237576
264.940929,289,250.417691
2.562308,119,250.495659
16.301044,153,250.589277
33.775223,155,250.681976
281.668643,277,250.851051
82.168873,1000,252.489332
118.63631,1000,253.119461
-37.198684,179,253.234512
282.545027,233,253.377484
-21.807935,177,254.482091
-24.944293,193,254.628514
247.317191,311,254.82487
4.257874,177,254.943812
250.550296,285,255.116292
238.908787,264,255.276823
270.308472,317,255.473337
230.380595,325,255.676244
263.598291,256,256.80765
7.659986,127,256.924209
272.02079,252,257.078867
248.509864,280,257.25116
247.319616,289,257.43185
282.778586,334,257.637166
263.773416,213,257.769902
255.732566,273,257.943746
245.81438,280,259.131684
21.88505,186,259.251469
219.2532,213,259.386952
-11.244806,166,259.491184
255.900415,265,259.656165
274.403523,260,259.820313
271.656358,406,260.075489
260.919284,259,260.236199
209.38902,277,261.442556
8.393455,128,261.526842
284.54884,294,261.704891
204.413172,696,262.146883
261.307666,265,262.310388
11.283862,151,262.404881
-44.332482,182,262.515221
272.092783,262,263.695496
-17.480622,144,263.811812
194.460245,324,264.01551
229.50562,324,264.217837
212.197978,336,264.421996
255.689737,316,264.610551
270.930438,279,264.777574
-33.985388,169,264.881464
150.708612,1000,266.492168
-22.736368,172,266.597528
-19.429071,209,266.725365
-27.342996,148,266.815731
106.502378,1000,268.443517
211.672707,258,268.601656
252.818858,236,268.74648
232.519135,309,268.939174
96.919139,1000,270.546987
261.270496,239,270.695516
236.325658,267,270.867882
251.979094,296,271.049222
101.152609,1000,271.691719
264.073218,271,272.823829
251.876777,269,273.016889
207.038285,318,273.21358
286.42921,273,273.384409
254.414058,271,273.554526
222.485805,328,273.755537
279.956961,301,273.940228
299.097502,298,275.140604
-16.466978,216,275.273308
-13.637534,184,275.3863
272.911067,251,275.541265
274.587617,267,275.705726
104.744399,1000,276.342464
245.425376,301,277.513216
185.882925,258,277.671227
92.843003,1000,278.315306
9.26966,134,278.405671
269.354649,256,278.564918
15.555927,206,279.670302
105.721946,1000,280.293998
276.386576,250,280.44876
236.920256,732,281.909314
282.470526,387,282.173827
245.194645,312,282.372737
233.990528,280,282.543489
231.441383,354,282.764592
250.259188,308,282.953867
10.022588,209,283.08127
184.069201,324,284.320124
262.861585,251,284.471227
7.136029,225,284.609626
10.662387,201,284.727239
-15.537169,239,284.904266
191.367129,373,285.155577
-35.181634,243,285.313978
-12.402118,237,285.465906
32.662286,130,286.528893
188.607771,436,286.796328
242.743066,314,286.989777
207.713515,598,287.349729
234.754063,275,287.515474
-20.499405,159,287.613042
224.241465,331,288.804946
100.859676,1000,289.468615
101.412578,1000,291.069799
184.853983,910,291.644958
-25.401448,218,291.778417
230.692752,255,291.951066
236.200339,243,292.094571
242.269687,273,292.255338
218.76696,259,293.388227
262.111035,211,293.522005
219.466193,239,293.664068
254.121587,235,293.804904
220.117473,243,293.953
232.42898,294,294.13285
267.090388,260,294.288975
-25.373416,247,294.450321
270.697404,207,295.570114
238.778258,305,295.771141
281.989566,223,295.940561
224.69566,243,296.083658
46.89914,165,296.185519
-23.672178,117,296.256926
219.394558,282,296.43978
256.616855,231,296.577996
277.003206,234,296.719183
282.595015,304,297.902218
250.833205,226,298.044414
-11.693542,164,298.142567
222.190008,256,298.295339
208.224418,253,298.452315
-8.598801,355,298.68265
258.51377,227,298.820585
-7.658844,270,298.990221
252.933178,252,300.16752
227.326048,298,300.352876
198.765092,239,300.500904
100.113258,1000,301.127975
189.785446,414,301.380178
225.063898,289,302.578191
229.6351,249,302.728314
231.193543,275,302.898811
269.224714,305,303.079995
165.413279,598,303.451498
226.647216,329,303.650712
258.970542,366,304.894588
-32.617154,261,305.052659
250.450391,247,305.202399
-78.674258,229,305.342976
42.487161,175,305.451951
235.947102,302,305.634567
226.750825,209,305.764811
257.102423,282,305.93489
103.733725,1000,307.56196
223.902828,230,307.699244
164.580059,485,307.999673
249.561038,232,308.136399
24.364037,176,309.222127
246.142238,219,309.379259
252.844602,285,309.552145
11.293663,138,309.63829
-123.284234,386,309.880254
202.234175,324,310.078548
220.805089,667,311.537532
178.619224,309,311.765651
234.390846,241,311.915666
224.09211,271,312.085455
-12.033549,270,312.255732
229.001632,868,312.786262
252.89128,223,313.898595
102.553271,1000,314.528327
114.592725,1000,316.127743
201.885357,202,316.255322
262.446177,218,316.384207
-3.74666,162,316.482468
195.664723,423,316.736746
258.598977,240,316.881108
189.39633,326,317.077453
188.921497,589,318.41767
192.055762,1000,319.053881
0.437928,164,319.149254
270.887601,225,319.283804
101.050401,1000,320.91198
63.690618,119,320.981097
-10.470093,165,321.078679
232.075966,227,321.212705
200.13349,283,321.386335
248.837632,356,321.608492
95.579497,1000,323.234907
209.309314,263,323.393517
258.252967,248,323.54558
37.524431,142,323.629878
221.701736,318,323.823866
263.48358,232,323.96553
-17.809907,136,324.048259
150.624976,1000,325.643104
222.300723,237,325.786329
234.426855,239,325.934801
236.338103,374,326.165111
128.255309,383,327.3778
-76.814223,319,327.575615
