#{"t_start": 1768084357.9020345, "env_id": "LunarLander-v3"}
r,l,t
-70.366161,460,43.808509
-0.797271,350,44.027915
96.890509,1000,44.637433
-74.788187,200,44.789414
-56.222484,123,44.865561
41.775497,1000,45.479891
-44.016705,350,45.690735
60.188921,1000,46.289981
-26.617565,309,46.472041
-60.536449,176,46.585215
25.168803,1000,47.19219
-42.873048,1000,47.791438
-71.898935,195,47.905385
-101.930741,290,48.080765
-158.723209,259,48.240141
-83.781795,167,48.340801
-26.503483,192,48.454707
-93.979731,498,48.756397
-43.382554,402,48.994908
-83.315791,128,49.07394
-31.146402,338,49.300427
-136.064085,321,49.495059
23.53545,1000,50.129993
50.189179,1000,50.734692
-37.345872,90,50.786555
8.658593,265,50.953479
-78.113312,368,51.176886
-119.358415,323,51.379205
-79.76634,351,51.591054
-78.125352,232,51.735256
-68.851061,165,51.840555
-153.376708,463,52.122715
47.945109,1000,52.762036
-78.379471,199,52.882199
-76.085584,204,53.053759
-86.020967,282,53.2308
-107.480407,231,53.371961
-104.292213,112,53.440207
36.082616,393,53.679808
-115.648504,425,53.936135
-93.406558,198,54.056118
47.617091,1000,54.659453
-71.939677,622,55.04758
-108.503296,132,55.131037
-110.48763,122,55.210559
119.568153,1000,55.820734
22.846594,1000,56.433969
-96.286075,163,56.533528
-113.235764,117,56.602115
-78.160956,226,56.737263
-90.22316,223,56.868182
-120.206967,598,57.235397
-71.562999,334,57.454212
-91.058354,195,57.573413
-133.768091,383,57.80946
-135.01335,285,57.985466
-72.108642,218,58.117461
-106.677859,467,58.402129
-77.273925,178,58.508833
-94.444528,170,58.612077
-102.158832,306,58.794477
-99.943485,222,58.928757
-109.407029,116,59.002995
-158.922918,418,59.258251
-46.091964,265,59.443825
-77.418643,559,59.795915
-56.942984,335,60.002039
-110.548191,491,60.343478
-76.319577,292,60.522194
-80.193551,319,60.712103
-127.155866,333,60.91323
-81.994713,174,61.021941
-101.603159,173,61.129612
-78.65501,212,61.256958
-116.408495,443,61.527045
-117.238761,120,61.603495
-112.780379,326,61.813334
139.974739,955,62.424228
-43.959188,253,62.606463
-83.424012,168,62.712738
-75.222002,201,62.838819
-61.587791,1000,63.471362
-88.892265,273,63.641871
-104.147022,269,63.821597
-173.172637,305,64.025188
152.020991,951,64.606673
-202.347869,925,65.190311
179.496191,649,65.59208
-86.780789,423,65.849183
-65.337069,1000,66.514155
-45.232911,1000,67.205593
-16.634639,1000,67.96919
-72.76004,321,68.221961
-43.472144,1000,68.843612
-86.69775,186,68.954251
-93.127795,236,69.132317
24.556484,1000,69.785873
-120.61246,1000,70.42255
-38.398897,1000,71.040459
-51.445571,1000,71.651976
-44.896871,1000,72.286811
12.429423,1000,72.952023
-110.543365,1000,73.582039
-65.308645,1000,74.230618
-65.108726,1000,74.863027
-22.561826,1000,75.481998
-75.58312,1000,76.104707
-33.811063,1000,76.726023
-87.41278,1000,77.379319
-45.811581,1000,77.995974
-58.978131,1000,78.619304
-41.03657,1000,79.254784
-61.168861,1000,79.958612
-71.503024,1000,80.587558
-17.705716,1000,81.225498
-43.696,1000,81.863109
-85.204476,1000,82.585896
-43.088179,1000,83.316372
-28.583558,1000,83.958297
-7.496874,1000,84.588805
-70.994709,1000,85.223351
-77.049533,1000,85.874603
-15.294294,1000,86.504836
-4.490812,1000,87.128563
-11.031359,1000,87.7807
-24.213439,1000,88.459597
-42.663029,1000,89.112085
-13.556659,1000,89.777241
-62.047189,1000,90.463303
-61.805776,1000,91.139764
-61.726002,1000,91.789482
-62.283291,1000,92.458079
-24.327367,1000,93.199039
-60.37097,1000,93.859845
-35.762741,1000,94.518287
-58.113279,1000,95.16325
-9.365151,1000,95.816859
-71.998838,1000,96.444202
-58.822006,1000,97.075857
-57.272777,1000,97.728501
-37.557609,1000,98.380548
-20.949882,1000,99.032843
-14.103312,1000,99.676138
-45.25377,1000,100.340437
-23.346758,1000,101.016217
-35.016622,1000,101.652216
-40.282107,1000,102.296962
-76.814153,1000,102.955173
-35.977552,1000,103.607347
-33.239873,1000,104.226244
1.376159,1000,104.846408
-28.475224,1000,105.48171
-10.738692,1000,106.14679
-52.84288,1000,106.789505
