#{"t_start": 1768085098.483219, "env_id": "LunarLander-v3"}
r,l,t
224.944718,420,186.827684
257.586384,429,187.171808
228.336322,625,187.67248
224.19316,721,188.264019
101.721556,1000,189.068579
249.093777,522,189.487737
230.411155,466,189.857442
286.792431,481,190.272423
192.994954,587,190.761526
220.246812,882,191.483894
258.996309,381,191.788219
237.051495,378,192.124497
207.250047,478,192.510081
288.090203,544,192.98143
221.219301,533,193.414687
157.097655,588,193.915129
239.468649,405,194.23084
221.420125,902,194.971985
237.529638,428,195.324174
200.427806,681,195.868348
187.597871,502,196.272146
197.855131,434,196.632901
241.197606,443,196.995947
-236.95253,669,197.569108
184.571803,633,198.075738
205.614603,455,198.440106
229.379426,461,198.807974
34.82003,1000,199.625951
264.469217,459,199.9904
213.248115,666,200.550616
252.343119,551,200.992345
202.856906,597,201.495302
275.451446,385,201.816106
185.311769,579,202.276757
216.617892,350,202.559101
256.578557,361,202.853854
225.088334,444,203.236475
235.369876,409,203.583501
262.084178,346,203.875557
253.583639,380,204.200104
212.687948,363,204.504843
197.922563,412,204.841301
165.693162,559,205.287268
241.972441,411,205.645359
192.172298,701,206.212569
170.721446,635,206.732456
253.665548,392,207.047333
160.564064,439,207.413843
204.339246,599,207.902244
222.950534,501,208.297826
243.530007,392,208.610212
252.270962,444,208.97155
285.087907,353,209.252126
254.673474,422,209.591701
27.827428,229,209.770052
241.169712,445,210.130223
231.951904,412,210.485958
247.602303,430,210.831839
210.644746,787,211.478004
215.521846,496,211.901441
214.469015,518,212.329751
208.294778,597,212.816047
203.302699,425,213.161602
170.071755,584,213.636576
171.324215,873,214.373164
194.358815,523,214.791906
210.0102,508,215.191083
26.100966,1000,216.0201
227.620654,494,216.415548
262.626911,372,216.728692
230.449531,513,217.139321
242.846881,461,217.516457
239.707182,360,217.799936
209.155702,612,218.294488
257.565116,432,218.651248
206.761805,500,219.07975
272.631728,461,219.450548
268.982184,364,219.763731
226.142521,474,220.137984
221.900813,442,220.525816
206.186362,458,220.899713
225.966678,478,221.286914
236.347128,418,221.624308
279.560919,333,221.888594
186.483986,471,222.268398
228.475454,655,222.825163
211.800462,510,223.250978
228.087764,446,223.62004
291.311452,377,223.929838
264.800207,412,224.283781
226.682977,526,224.700832
243.362899,407,225.058078
206.37449,541,225.502882
205.25983,441,225.888959
282.550353,387,226.201446
212.7176,629,226.741457
198.303182,526,227.166272
282.283305,535,227.631288
220.033142,429,227.973216
193.720793,595,228.448905
252.411811,415,228.782806
263.807386,423,229.189889
226.711014,418,229.566056
22.12584,270,229.810613
268.369552,443,230.179232
271.100717,391,230.50007
274.056206,325,230.781092
262.627253,431,231.12945
256.938584,373,231.439051
221.882716,383,231.762928
284.377931,346,232.048786
248.051205,587,232.539427
233.666509,481,232.92504
226.068748,386,233.251529
209.993335,432,233.603954
277.579421,347,233.899226
